"Date(UTC)","UnixTimeStamp","Value"
"9/21/2017","1505984872","21972679307"
"9/22/2017","1506083845","23233131734"
"9/23/2017","1506181878","22618063978"
"9/25/2017","1506341242","23481564613"
"9/28/2017","1506586384","23611297509"
"10/2/2017","1506927688","23609395021"
"10/9/2017","1507541116","24473677921"
"10/16/2017","1508128554","25527694297"
"10/25/2017","1508951322","26859303972"
"11/6/2017","1509965603","28940628765"
"11/13/2017","1510579933","30127132606"
"11/22/2017","1511383261","31891948932"
"11/28/2017","1511871269","33083938012"
"12/5/2017","1512445791","34868608835"
"12/12/2017","1513077467","36507887778"
"12/19/2017","1513661792","38446447159"
"12/26/2017","1514267727","41757501184"
"1/2/2018","1514877195","42545051592"
"1/8/2018","1515394025","43924372403"
"1/15/2018","1515998884","47398736375"
"1/25/2018","1516873634","49947066466"
"1/29/2018","1517223791","50931814164"
"2/5/2018","1517842146","53117149604"
"2/12/2018","1518434578","54764978848"
"3/1/2018","1519874690","60669626420"
"3/6/2018","1520330857","60870605293"
"3/12/2018","1520848007","61413138336"
"3/19/2018","1521471619","63895405511"
"3/26/2018","1522076114","65319353522"
"4/3/2018","1522727677","67643897897"
"4/13/2018","1523586224","69606482299"
"4/16/2018","1523903471","70120857450"
"4/24/2018","1524550258","74134897118"
"4/30/2018","1525101990","73634090337"
"5/7/2018","1525707164","75871085915"
"5/7/2018","1525707164","75871085915"
"5/14/2018","1526318457","78176399620"
"5/14/2018","1526318457","78176399620"
"5/22/2018","1527026780","79163364490"
"5/22/2018","1527026780","79163364490"
"5/28/2018","1527507514","80982283444"
"6/22/2018","1529650903","88526501406"
"6/29/2018","1530250227","90408677479"
"6/29/2018","1530314181","90677956268"
"7/6/2018","1530880768","93103050976"
"7/7/2018","1530935151","92881590249"
"7/14/2018","1531557673","94343290862"
"7/20/2018","1532086746","95853306813"
