"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"7/30/2015","1438214400","72049306.59375","0","0.00"
"7/31/2015","1438300800","72085498.31250","0","0.00"
"8/1/2015","1438387200","72113204.25000","0","0.00"
"8/2/2015","1438473600","72141427.68750","0","0.00"
"8/3/2015","1438560000","72169404.40625","0","0.00"
"8/4/2015","1438646400","72197882.84375","0","0.00"
"8/5/2015","1438732800","72225411.43750","0","0.00"
"8/6/2015","1438819200","72252486.90625","0","0.00"
"8/7/2015","1438905600","72279924.56250","216.8397736875","3.00"
"8/8/2015","1438992000","72307868.00000","86.7694416","1.20"
"8/9/2015","1439078400","72335046.28125","86.8020555375","1.20"
"8/10/2015","1439164800","72362863.62500","0","0.00"
"8/11/2015","1439251200","72390891.43750","71.666982523125","0.99"
"8/12/2015","1439337600","72418262.37500","93.41955846375","1.29"
"8/13/2015","1439424000","72446530.50000","136.19947734","1.88"
"8/14/2015","1439510400","72477637.21875","129.7349706215625","1.79"
"8/15/2015","1439596800","72506149.87500","129.78600827625","1.79"
"8/17/2015","1439769600","72534268.78125","94.294549415625","1.30"
"8/16/2015","1439683200","72561363.31250","99.409067738125","1.37"
"8/18/2015","1439856000","72587526.12500","98.71903553","1.36"
"8/19/2015","1439942400","72614808.15625","90.04236211375","1.24"
"8/20/2015","1440028800","72635865.18750","110.406515085","1.52"
"8/21/2015","1440115200","72662556.12500","104.63408082","1.44"
"8/22/2015","1440201600","72690106.59375","101.76614923125","1.40"
"8/23/2015","1440288000","72716362.21875","98.1670889953125","1.35"
"8/24/2015","1440374400","72743695.50000","90.20218242","1.24"
"8/25/2015","1440460800","72770431.59375","92.4184481240625","1.27"
"8/26/2015","1440547200","72796569.56250","85.89995208375","1.18"
"8/27/2015","1440633600","72821102.37500","83.0160567075","1.14"
"8/28/2015","1440720000","72845327.53125","94.698925790625","1.30"
"8/29/2015","1440806400","72867852.53125","85.984065986875","1.18"
"8/30/2015","1440892800","72889306.12500","96.213884085","1.32"
"8/31/2015","1440979200","72910599.56250","95.512885426875","1.31"
"9/1/2015","1441065600","72930942.53125","99.1860818425","1.36"
"9/2/2015","1441152000","72949329.87500","83.1622360575","1.14"
"9/3/2015","1441238400","72966710.81250","89.749054299375","1.23"
"9/4/2015","1441324800","72989792.68750","98.536220128125","1.35"
"9/5/2015","1441411200","73015421.75000","100.0311277975","1.37"
"9/6/2015","1441497600","73041590.03125","97.875730641875","1.34"
"9/7/2015","1441584000","73067050.50000","93.52582464","1.28"
"9/8/2015","1441670400","73092943.00000","92.09710818","1.26"
"9/9/2015","1441756800","73119370.65625","88.4744384940625","1.21"
"9/10/2015","1441843200","73145814.87500","87.04351970125","1.19"
"9/11/2015","1441929600","73173054.71875","67.31921034125","0.92"
