Date(UTC),AddressCount,AvgGasPrice,BlockCountRewards,BlockDifficulty,BlockSize,BlockTime,ChainData,EnsRegistrations,EtherPrice,Ethersupply,Ethersupply2,GasLimit,GasUsed,MarketCap,NetworkHash,TransactionFee,TxGrowth,Uncles
2015-07-30,9205,0,6912,0.121,644,4.46,,,0.0,39316.09375,72049306.59375,0,0,0.0,11.5297,0.0,8893,1299
2015-07-31,9361,0,6863,0.603,582,12.58,,,0.0,36191.71875,72085498.3125,0,0,0.0,51.4594,0.0,0,511
2015-08-01,9476,0,5293,0.887,575,16.34,,,0.0,27705.9375,72113204.25,0,0,0.0,57.7845,0.0,0,334
2015-08-02,9563,0,5358,1.02,581,16.12,,,0.0,28223.4375,72141427.6875,0,0,0.0,67.9224,0.0,0,394
2015-08-03,9639,0,5280,1.126,587,16.37,,,0.0,27976.71875,72169404.40625,0,0,0.0,74.5737,0.0,0,443
2015-08-04,9696,0,5368,1.217,587,16.1,,,0.0,28478.4375,72197882.84375,0,0,0.0,82.0352,0.0,0,458
2015-08-05,9749,0,5235,1.328,579,16.51,,,0.0,27528.59375,72225411.4375,0,0,0.0,86.1558,0.0,0,371
2015-08-06,9790,0,5116,1.381,584,16.89,,,0.0,27075.46875,72252486.90625,0,0,0.0,88.3326,0.0,0,411
2015-08-07,10314,604684154870,5189,1.4709999999999999,633,16.65,,,3.0,27437.65625,72279924.5625,122980,49353826,3.0,95.2981,3.7318413511279305e+19,2050,409
2015-08-08,10730,322713574989,5256,1.5859999999999999,668,16.44,,,1.2,27943.4375,72307868.0,1940277,376006093,1.2,104.8971,6.8099970071856824e+19,2881,458
2015-08-09,11004,475467129048,5123,1.709,618,16.86,,,1.2,27178.28125,72335046.28125,3141325,38863003,1.2,109.6916,1.4098949703205591e+19,1329,421
2015-08-10,11679,421654904254,5255,1.838,631,16.44,,,0.0,27817.34375,72362863.625,3141511,74070061,0.0,120.5988,3.1165144438378738e+19,2037,415
2015-08-11,13576,77838819162,5280,2.036,692,16.37,,,0.99,28027.8125,72390891.4375,3141521,163481740,0.99,134.7695,1.1311448586019756e+19,4963,438
2015-08-12,13913,444902379011,5124,2.207,653,16.86,,,1.29,27370.9375,72418262.375,3141555,70102332,1.29,143.0004,3.2586992404377743e+19,2036,474
2015-08-13,14459,268683475202,5286,2.3369999999999997,666,16.34,,,1.88,28268.125,72446530.5,3141552,88234087,1.88,156.6101,2.492916910994312e+19,2842,504
2015-08-14,15024,193455494453,5809,2.6710000000000003,660,14.88,,,1.79,31106.71875,72477637.21875,3141575,78746522,1.79,196.7576,1.4354834112827458e+19,3174,555
2015-08-15,15407,144368937208,5382,3.378,638,16.04,,,1.79,28512.65625,72506149.875,3141584,59565914,1.79,227.665,8.836593028046851e+18,2284,441
2015-08-16,15984,120940093311,5132,3.6319999999999997,641,16.84,,,1.37,27094.53125,72561363.3125,3141581,58241191,1.37,231.8948,6.677237924905556e+18,2440,385
2015-08-17,15693,132149993345,5347,3.908,635,16.16,,,1.3,28118.90625,72534268.78125,3141589,60515132,1.3,258.9066,7.642811839634957e+18,2512,377
2015-08-18,16268,146513014268,4948,4.378,648,17.46,,,1.36,26162.8125,72587526.125,3141585,66816413,1.36,270.4645,1.1906071340176042e+19,2494,390
2015-08-19,16553,194583349948,5192,4.42,653,16.64,,,1.24,27282.03125,72614808.15625,3141611,91746712,1.24,284.0496,1.5430950669480219e+19,3246,361
2015-08-20,16773,99011782801,4024,4.468999999999999,650,21.47,,,1.52,21057.03125,72635865.1875,3141608,63112713,1.52,221.4382,6.855566942706631e+18,2303,257
2015-08-21,17070,79543407701,5088,4.415,668,16.98,,,1.44,26690.9375,72662556.125,3141620,106379973,1.44,277.282,7.855041724705319e+18,3919,338
2015-08-22,17313,552841333007,5271,4.828,648,16.39,,,1.4,27550.46875,72690106.59375,3141669,90744195,1.4,312.6127,4.2547171829582455e+19,3579,323
2015-08-23,17662,73439482806,5013,5.138,681,17.24,,,1.35,26255.625,72716362.21875,3141828,117802449,1.35,317.1623,8.049767672901802e+18,4190,320
